index,0
bank,0.014861409264878106
bar,0.056696080023303945
biergarten,0.00030394224761226633
casino,0.004370552201472196
college,0.0021793980957691994
hospital,0.00022108249348254532
ice_cream,0.0034248821016878146
kindergarten,0.001804337375080201
library,0.004965559690208787
nightclub,0.05368292693312344
school,0.015857852549902487
taxi,0.02185242423662719
university,0.010990179104175414
temp,0.0035944432655811752
rhum,0.006717765260841037
wdir,0.0016904494605953634
wspd,0.0036276308578440004
pres,0.002023309744696376
coco,0.002183230300786702
is_weekday,0.0004698755465132016
Credit Card,0.1418925712532892
Mobile,0.03633684914009563
Prcard,0.02301818491955124
Unknown,0.0106607532191238
5 Star Taxi,0.010530412583127494
Blue Ribbon Taxi Association,0.006143308853294389
Chicago Independents,0.011481232893220677
Choice Taxi Association,0.00277498233466402
City Service,0.018416738783013694
Flash Cab,0.03271321259317739
Globe Taxi,0.010103514213423618
Medallion Leasin,0.008941887988548345
Star North Taxi Management Llc,0.005401565234170669
Sun Taxi,0.017791970713646514
Taxi Affiliation Services,0.2301752782318337
Taxicab Insurance Agency Llc,0.021164909264470056
"Taxicab Insurance Agency, LLC",0.002766989579118616
Midday,0.10253995442750988
Morning Commute,0.08537512231045724
Night,0.010253230710082504
