GMM_Cluster,bank,bar,biergarten,casino,college,hospital,ice_cream,kindergarten,library,nightclub,school,taxi,university,temp,rhum,wdir,wspd,pres,coco,is_weekday,Credit Card,Mobile,Prcard,Unknown,5 Star Taxi,Blue Ribbon Taxi Association,Chicago Independents,Choice Taxi Association,City Service,Flash Cab,Globe Taxi,Medallion Leasin,Star North Taxi Management Llc,Sun Taxi,Taxi Affiliation Services,Taxicab Insurance Agency Llc,"Taxicab Insurance Agency, LLC",Midday,Morning Commute,Night
0,0.10198355917911034,0.2998309198104635,0.03700303265405104,0.02445988959313756,0.05608468165186134,0.01977712811509231,0.12412256014823524,0.10659434471316856,0.07300508365525642,0.1847149403625762,0.14137568310778584,0.1792299439017166,0.09806942352727464,0.5632683792673162,0.5649033393830605,0.5050563224935911,0.27741446938908826,0.5700329363963563,0.11120238603386301,0.7836140037207954,0.4299406802487331,0.0,0.0,0.22436091894160462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4065760897286182,0.12333568679457683,0.2032227206548886
1,0.16579990679899886,0.29774354157464095,0.04513166411945592,0.0,0.10942760704304952,0.018163335934840506,0.18367490508748097,0.16669877238134223,0.11188114464427105,0.02628041603340505,0.13057736462129657,0.21740998478283552,0.1737088545200361,0.5884358288959416,0.5296781032721417,0.49461617854176787,0.2868581529730735,0.5648783475673101,0.10611295168137157,0.7791065451748652,1.0,0.0,0.0,0.0,0.04890927916532696,0.044879539830680125,0.0785607952396668,0.025487216023773338,0.12913012871086585,0.16262016626038772,0.04646877270712081,0.047385202003963164,0.03107361037732241,0.15339779971983042,0.0,0.1362802602262603,0.03358068897919408,0.0,0.2791426641038752,0.2795109355369185
2,0.20122937528075402,0.39942979655447247,0.022383775388724717,0.021872123215512327,0.06724882209209336,0.013108233235501678,0.15469823600862959,0.11565353493234709,0.10151783430124228,0.1386234945037679,0.1104672653399969,0.2624312341493581,0.12473586460152569,0.6043946013920088,0.4791342011039506,0.48714122517642044,0.31771838454315476,0.5658590707426114,0.11381460867673454,0.7563327028328207,0.0,0.5181223573870286,0.035718961950401966,0.015909562456816757,0.02418261550950686,0.07957198482770013,0.13870004089188628,0.033307750724672715,0.05033529332374489,0.06703449220536187,0.017515022228668235,0.10410711659827851,0.07465488658041097,0.06145264900862356,0.0,0.24379420302116508,0.032125310466107074,0.0,0.0,0.3618670066937802
3,0.05683826721069537,0.1480444317669771,0.03697764168291124,0.0,0.056379578404059695,0.01991544931036206,0.1648475377965785,0.14863624525487534,0.08778508235405535,0.0,0.18216632204500074,0.05238801768882505,0.11309318990758352,0.561089931905533,0.5589371663557025,0.5057870417869116,0.2835400729793689,0.573319825262059,0.10782028111657423,0.7378662920550237,0.0,0.2773749299576194,0.3547372325564877,0.0,0.07920510776661484,0.01179395307357804,0.0,0.0,0.17844115256217002,0.494923801782036,0.0650119565303175,0.0,0.0,0.1706240282852836,0.0,0.0,0.0,0.4790370060532401,0.0,0.2305984578838125
4,0.03791278463254074,0.7012015677165502,0.0,0.13738353897622216,0.0,0.0,0.04579451299207405,0.0,0.0,0.9313082305118889,0.01717294237202777,0.3333333333333333,0.0,0.5834667920526899,0.5525364988795619,0.49522096368374563,0.27370466218273526,0.5646013893211659,0.12992817862153316,0.759204467786611,0.7513748246339796,0.0,0.0,0.0,0.0716977229396741,0.03023939710061513,0.09668400841756898,0.026973767041979926,0.1329510503974963,0.10383804273535019,0.04514663297240908,0.044457534443685026,0.0375193352278859,0.17169682362674915,0.0,0.1429457894168855,0.03743277635886183,0.3573071423432498,0.10767136407784453,0.24026943415230764
5,0.1852741217053485,0.3399549893792345,0.053525962266555246,0.008913846297108606,0.09242316938390925,0.03395144169466411,0.16280787996265375,0.1542671286755066,0.0970841001487479,0.06113183180460359,0.12276173625797344,0.24898404615514053,0.14202713117505936,0.5455504797158619,0.6204616215581958,0.5195521287449386,0.25071282326586525,0.5757288268648424,0.1020561884760815,0.7908009106213839,0.5207377111448197,0.1656590855067598,0.03054845579099818,0.015509479921484636,0.02790432104059813,0.06330484986754821,0.11182067914319252,0.0310079324042512,0.09132434637920175,0.10265565229750559,0.03146250793362952,0.07385933399171227,0.04181114653505623,0.10076628446380917,0.0,0.19526775846478447,0.03837793728082965,1.0,0.0,0.0
6,0.09318209952744623,0.2205619132781673,0.0326665850607169,0.009944169081995307,0.052959080148799464,0.012282387015525186,0.14424681512033763,0.12782500088175922,0.06653900176559313,0.032049353618636034,0.16165680479511027,0.13554125837757688,0.09847694251552415,0.5097437768076016,0.6742121740862381,0.5167379566100704,0.22074857206877307,0.5657396669773632,0.1021390440900349,0.860088673854906,0.0,0.37474558653584816,0.231605984344106,0.0051577726555060155,0.03874761146992371,0.05336199223636956,0.06040154276739607,0.007634997333975116,0.11677811411416396,0.33969306480826406,0.04241987920936283,0.03629320879435508,0.017989962468178865,0.12247946538420842,0.0,0.10849372706129368,0.01032176949362125,0.0,1.0,0.0
