index,0
bank,0.017952430208886636
bar,0.042023363447234605
biergarten,0.00044138036687413297
casino,0.0017191036183324521
college,0.0018774885137014766
hospital,0.00036360086516187384
ice_cream,0.00438631744651215
kindergarten,0.0017772406805315847
library,0.006803771277179572
nightclub,0.06983511193064218
school,0.018132850957037868
taxi,0.01735470515400185
university,0.00843775243862423
temp,0.005920375196146744
rhum,0.011210672772719525
wdir,0.002853235154193521
wspd,0.00560620653383254
pres,0.0032169275495931697
coco,0.0032477535940724895
is_weekday,0.0011063634737346938
Credit Card,0.1610444800338027
Mobile,0.03769932006289754
Prcard,0.05609476328815443
Unknown,0.015640561846587887
5 Star Taxi,0.001501212200685267
Blue Ribbon Taxi Association,0.0010086322941762688
Chicago Independents,0.001580412209782407
Choice Taxi Association,0.001089447992318868
City Service,0.003731620550631008
Flash Cab,0.05035994422321938
Globe Taxi,0.0012676476971583684
Medallion Leasin,0.0010776781455989432
Star North Taxi Management Llc,0.0005926077474460482
Sun Taxi,0.003657627377220335
Taxi Affiliation Services,0.13404526100158295
Taxicab Insurance Agency Llc,0.0031676536656985595
"Taxicab Insurance Agency, LLC",0.0007351940566917034
Midday,0.16463154754489004
Morning Commute,0.10696049852652977
Night,0.029847238355914137
