KMean_Cluster,bank,bar,biergarten,casino,college,hospital,ice_cream,kindergarten,library,nightclub,school,taxi,university,temp,rhum,wdir,wspd,pres,coco,is_weekday,Credit Card,Mobile,Prcard,Unknown,5 Star Taxi,Blue Ribbon Taxi Association,Chicago Independents,Choice Taxi Association,City Service,Flash Cab,Globe Taxi,Medallion Leasin,Star North Taxi Management Llc,Sun Taxi,Taxi Affiliation Services,Taxicab Insurance Agency Llc,"Taxicab Insurance Agency, LLC",Midday,Morning Commute,Night
0,0.09349812930369335,0.1983931590717258,0.044915428721167466,0.021593596166684343,0.05308368532371677,0.02609241801275692,0.13031692652603688,0.1280273772609013,0.07932417846380374,0.03704165860780265,0.17462393700983908,0.12082971984269097,0.09348760598706006,0.5605758504063085,0.5641241761149584,0.5086089048887669,0.2806330233975933,0.5731051522386086,0.10727125824343801,0.7796080584480811,0.2975336756530799,0.0,0.0,0.31285945133174026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5106595374316036,0.03735860593090798,0.17926490681873483
1,0.18000286111509653,0.3021263826575432,0.04528029279024167,0.01954158391667359,0.11789463880729258,0.01690826728017029,0.19856348529126738,0.1611038534437841,0.11787601219288112,0.0252472431352116,0.12971391785663045,0.2436335993918662,0.18863505931569846,0.5845625388578864,0.537693915567541,0.4958344660328584,0.283005041501751,0.5646626727790839,0.10573492062293441,0.78796242458109,1.0,0.0,0.0,0.0,0.04232898125004719,0.039708669682164514,0.06964717668350613,0.022911994281125954,0.11362989924008447,0.14508244793987127,0.04074194335998953,0.04188722843528887,0.027111792408899493,0.1355702890397477,0.11658876211044575,0.12015550705923515,0.029526959507250535,0.0,0.32204031906887065,0.2636609855492712
2,0.13772459632838324,0.3020729907214917,0.027339522815352176,0.03678720776009584,0.07091102085070548,0.012490007786856695,0.18440056032262003,0.14266914687363566,0.10416476133525626,0.08036274061490649,0.13528801368941823,0.17222195783234323,0.1374149584206682,0.601771413652136,0.4833527609180206,0.484467198067333,0.3156056193802576,0.5656602516485844,0.11219819033174494,0.7247746191233889,0.0,0.5087783187424606,0.04612109010476047,0.008097572280169586,0.06664487174446972,0.044094369254261905,0.07225947820473294,0.01809150970529265,0.1491548605090494,0.16558381768409638,0.05296993749133548,0.052109176007101285,0.03887600275609206,0.15888705195399064,0.0,0.12568359152729297,0.017227644513783565,0.0,0.0,0.4455475250003621
3,0.040922794336826045,0.12216905177459489,0.030900972574269027,0.006685291741444492,0.02847477905850864,0.020409463840424632,0.11754097619238509,0.10674495982040988,0.06341807125632914,0.02264303379032606,0.20376822420396307,0.04300315968431937,0.0591901176093298,0.541397679546674,0.5896643532248697,0.5183742821157482,0.27257508398463826,0.5782167013775193,0.1078028733186553,0.7781611747365045,0.0006136407087396005,0.05013197900670379,0.6763492386538141,0.0,0.03999303101506658,0.01979376738391706,0.0065943249027117365,0.0,0.054512263563309835,0.7971269897068709,0.021773452484473967,0.009990934152343244,0.001950390694863303,0.028950581879405725,0.0,0.015370312124183612,0.0,0.6692661597192671,6.167243303915583e-05,0.0728598123924587
4,0.03581746651832334,0.7158469826263233,0.0,0.03552067090120749,0.0,0.0,0.013377051752714149,0.0,0.0,0.9684768620374397,0.005805467199743705,0.32597718985293883,0.002149688729648651,0.5898119915784685,0.5369343660274729,0.4911502830957745,0.280399310022966,0.5627136234594059,0.13327350927490844,0.7566610111682472,0.8686420592552395,0.0,0.001072256347724888,7.736809013055593e-05,0.06152942548199775,0.023973211026369443,0.0770281064105456,0.02075317290896391,0.11002396231411227,0.08014680322679421,0.03664523243662627,0.03560130806556891,0.03169694374250156,0.13967010682244896,0.18962809921858229,0.11491122828926076,0.03109107531838059,0.2837076968173383,0.07906909842201787,0.30394871476346613
5,0.15579786879969906,0.3432821946810811,0.05054989951028439,0.050566388251222456,0.08541460939088759,0.03127608808896103,0.17379865781648765,0.15070571811214908,0.09073076267755169,0.10678475047954755,0.1213586218710324,0.22792691945738605,0.13701468139172301,0.545249477148687,0.6215273014214049,0.5192745442542539,0.2501532242424274,0.5756487295982683,0.10326403787280587,0.7763467179161163,0.4115864550489441,0.20114431862110155,0.007284359329970852,0.011595249044111047,0.04740329811460408,0.05035661482484377,0.09043066759247893,0.026224426420825647,0.14832080494369096,0.07539660002161858,0.052704428326191266,0.055998512349150924,0.03325412630741975,0.1629225010855088,0.0,0.1537556771651091,0.032089837988959875,1.0,0.0,0.0
6,0.09422286532889253,0.2466997682169787,0.030646598851789972,0.021556903513551547,0.05275740003680623,0.011723866674845828,0.14164745164972495,0.1223482374506995,0.0638930887282726,0.07243790752976072,0.15421494477261327,0.14932503870066793,0.0961145521728305,0.5103175308202966,0.6747523486258902,0.5165260021177615,0.2201394061722088,0.5655426322353212,0.10288748479938803,0.8542545475540095,1.8042269428817835e-06,0.32588668733107923,0.20133729301006398,0.0044853081800041135,0.03594380915609089,0.04769473923507995,0.05743395627275581,0.007480324905187874,0.10581430174613084,0.3011092387244837,0.0384390550180964,0.03342330411688504,0.016952516355317238,0.11350211274975011,0.08922082655244708,0.10074081558274726,0.010060369433508824,0.0,1.0,0.0
